Chromophore,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,Molecular weight (g mol-1),Extinction Coefficient
diphenyl-anthracene,279,302,,1.0,,14000.0
Tyrosine (Tyr),225,303,,0.13,,1405.0
dimethyl thienocarbazole precursor,248,325,,0.0033,,18900.0
trimethyl thienocarbazole precursor,240,330,,0.0032,,22540.0
3-BPEB,317,342,,0.95,,52480.75
4-BPEB,315,344,,0.71,,23442.29
Fluoroside H (terphenyl),285,345,,0.42,,40100.0
angular thienocarbazole,257,346,,0.057,,53530.0
Tryptophan (Trp),287,348,,0.31,,6000.0
"Fluoroside M (N,N-dimethylaniline)",260,357,,0.14,,17000.0
linear thienocarbazole,269,372,,0.086,,61630.0
Fluoroside I (binaphthyl),306,373,,0.57,,17000.0
7-MeO-coumarin-AcOH abs,220,382,,0.18,,11820.0
Fluoroside Y (pyrene),342,394,,0.12,,39000.0
Fluoroside B (benzo[a]pyrene),394,408,,0.98,,28200.0
Akhtaruzzaman (2004)  5c,362,427,,0.11,,51286.14
Fluoroside T (terthiophene),358,432,,0.06,,31400.0
Photoactive Yellow Protein 4-hydroxy cinnamic acid (I),360,439,,0.0,,45500.0
EBFP,380,440,,0.2,,31500.0
"Fluoroside D (N,N-dimethylaminostilbene)",348,441,,0.06,,25300.0
Akhtaruzzaman (2004)  5b,350,441,,0.24,,12022.64
Fluoroside E (perylene),440,443,,0.88,,39200.0
BFP(P4-3),381,445,,0.38,,14000.0
BFP(P4),383,447,,0.21,,13500.0
Akhtaruzzaman (2004)  3c,356,448,,0.68,,107151.93
Quinine sulfate (in 0.05M H2SO4),256,450,,0.55,,5700.0
6-chloro-7-hydroxy-coumarin-DCH,408,450,,0.93,,44000.0
quinine sulfate (in 0.05M H2SO4),256,450,,0.546,,5700.0
quinine sulfate (in 0.5M H2SO4),256,451,,0.546,,5700.0
Quinine sulfate (in 0.5M H2SO4),256,451,,0.55,,5700.0
Distyrylpyridine 2a,386,457,,0.48,,22700.0
Fluoroside O (oxoperylene),444,461,,0.81,,25100.0
Distyrylpyridine 2c,390,461,,0.49,,27400.0
Akhtaruzzaman (2004)  1c,388,464,,0.87,,26915.35
DAPI (in DMSO),353,465,,0.58,,27000.0
Akhtaruzzaman (2004)  3b,366,467,,0.9,,11481.54
Akhtaruzzaman (2004)  3a,377,469,,0.8,,32359.37
Distyrylpyridine 2b,396,472,,0.53,,28000.0
Akhtaruzzaman (2004) 1a,393,473,,0.87,,30199.52
CFP W7,433,475,,0.63,,14000.0
Distyrylpyridine 2d,399,475,,0.45,,29200.0
Cycle 3 GFP (alphaGFP),396,475,,0.8,,30000.0
ECFP,434,477,,0.4,,26000.0
Akhtaruzzaman (2004)  1b,396,479,,0.8,,28183.83
Akhtaruzzaman (2004)  7c,397,480,,0.15,,32359.37
4'-(2-benzo[b]furanyl)-3-hydroxychromone,413,481,,0.19,,35000.0
"4'-Diethylamino-3-hydroxy-furano[3,2-g]flavone",418,482,,0.34,,41000.0
Hoechst 33258 (in DMF),354,486,,0.35,,46000.0
DAPI (in H2O),344,487,,0.043,,27000.0
Distyrylpyridine 2e,414,491,,0.75,,32600.0
Distyrylpyridine 2h,411,491,,0.72,,20700.0
Distyrylpyridine 2g,412,493,,0.62,,25300.0
Distyrylpyridine 2f,414,498,,0.54,,37300.0
C829,479,499,,0.95,,49300.0
C835,466,503,,0.66,,45000.0
BODIPY 494/505,495,504,,1.0,,65600.0
ImD-405,496,504,,0.8,,90000.0
DAMBO,496,505,,0.0,,73000.0
DAMBO-T,498,507,,0.4,,52000.0
Hoechst 33258 (in H2O),345,507,,0.034,,46000.0
EGFP ,488,507,,0.6,,55000.0
GFP (wild type),395,508,,0.77,,21000.0
"Aequorea GFP (wtGFP, avGFP)",395,508,,0.85,,30000.0
GFP (Aequorea victoria wild type avGFP),395,508,,0.77,,21000.0
GFP (Renilla),498,509,,0.8,,135000.0
wtRenillaGFP,498,509,,0.8,,135000.0
DBI-1,502,510,,0.8,,9000.0
